neighborhood,price,city
Crown Heights,"$1,200",roomi nyc
Bay Ridge,"$1,050",roomi nyc
Upper West Side,"$1,243",roomi nyc
Hamilton Heights,"$1,400",roomi nyc
East Williamsburg,"$1,225",roomi nyc
Bedford-Stuyvesant,"$1,400",roomi nyc
Flushing,"$1,300",roomi nyc
Lower Manhattan,"$1,200",roomi nyc
Greenwood,"$1,747",roomi nyc
Lower Manhattan,"$1,200",roomi nyc
Upper Manhattan,"$1,150",roomi nyc
Midtown,"$1,250",roomi nyc
Sunset Park,"$1,600",roomi nyc
Harlem,"$2,056",roomi nyc
West Bronx,"$1,200",roomi nyc
Harlem,"$1,600",roomi nyc
Bushwick,"$1,400",roomi nyc
Bushwick,$950,roomi nyc
Chelsea,"$1,000",roomi nyc
Hell's Kitchen,"$1,200",roomi nyc
Murray Hill,"$1,215",roomi nyc
Nolita,"$1,200",roomi nyc
Bushwick,"$1,675",roomi nyc
East Bronx,"$1,150",roomi nyc
Bay Ridge,"$1,550",roomi nyc
Bushwick,$850,roomi nyc
Sheepshead Bay,$680,roomi nyc
Bedford-Stuyvesant,"$3,000",roomi nyc
Upper Manhattan,"$1,350",roomi nyc
Sheepshead Bay,"$2,000",roomi nyc
Upper Manhattan,$816,roomi nyc
Flushing,"$1,600",roomi nyc
Crown Heights,"$1,300",roomi nyc
Astoria,"$1,550",roomi nyc
Midtown,"$1,125",roomi nyc
Lower Manhattan,$800,roomi nyc
Upper West Side,"$1,300",roomi nyc
Boerum Hill,"$1,050",roomi nyc
Clinton Hill,"$1,300",roomi nyc
Prospect Heights,"$1,585",roomi nyc
Midtown,"$1,725",roomi nyc
Yorkville,"$1,585",roomi nyc
Bedford-Stuyvesant,"$1,750",roomi nyc
Bedford-Stuyvesant,"$1,485",roomi nyc
Park Slope,$900,roomi nyc
Upper Manhattan,$700,roomi nyc
East Harlem,$900,roomi nyc
East Harlem,$750,roomi nyc
Crown Heights,$900,roomi nyc
Upper Manhattan,$950,roomi nyc
Woodside,$750,roomi nyc
Lower Manhattan,$950,roomi nyc
Bedford-Stuyvesant,$975,roomi nyc
Bedford-Stuyvesant,"$1,075",roomi nyc
StuyTown,"$1,450",roomi nyc
Bushwick,"$1,780",roomi nyc
Astoria,"$1,700",roomi nyc
Bushwick,"$1,200",roomi nyc
Upper Manhattan,"$2,000",roomi nyc
Bedford-Stuyvesant,"$1,000",roomi nyc
